batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.8529,0.8438,0.8447,320.68,0.0,0,320,102617,320,0.8438,2358.06
1,Few_Shot_with_Reasoning,1,0.8392,0.8344,0.8356,587.31,0.0,0,320,187939,320,0.8344,4353.0
2,Enhanced_Zero_Shot,1,0.8121,0.8031,0.8038,187.01,0.0,0,160,59842,320,0.8031,1740.08
2,Few_Shot_with_Reasoning,1,0.7911,0.7875,0.787,352.85,0.0,0,160,112912,320,0.7875,4844.7
4,Enhanced_Zero_Shot,1,0.7692,0.7688,0.7687,120.38,0.0,0,80,38523,320,0.7688,1454.87
4,Few_Shot_with_Reasoning,1,0.7449,0.7188,0.7308,204.04,0.0375,3,80,65294,320,0.7188,3075.84
8,Enhanced_Zero_Shot,1,0.7866,0.7844,0.7846,87.57,0.0,0,40,28022,320,0.7844,1335.75
8,Few_Shot_with_Reasoning,1,0.7612,0.7219,0.7396,121.55,0.05,2,40,38896,320,0.7219,1626.81
16,Enhanced_Zero_Shot,1,0.7796,0.7812,0.7799,70.58,0.0,0,20,22586,320,0.7812,1300.7
16,Few_Shot_with_Reasoning,1,0.7677,0.7219,0.743,86.87,0.05,1,20,27798,320,0.7219,1410.61
32,Enhanced_Zero_Shot,1,0.7519,0.6781,0.712,61.82,0.1,1,10,19781,320,0.6781,1271.19
32,Few_Shot_with_Reasoning,1,0.7741,0.6781,0.7225,69.66,0.1,1,10,22290,320,0.6781,1319.27
64,Enhanced_Zero_Shot,1,0.7364,0.7375,0.7366,57.91,0.0,0,5,18532,320,0.7375,1347.19
64,Few_Shot_with_Reasoning,1,0.7619,0.7594,0.7601,62.67,0.0,0,5,20054,320,0.7594,1435.08
