batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.7009,0.6844,0.6886,320.6,0.0,0,320,102592,320,0.6844,2288.61
1,Few_Shot_with_Reasoning,1,0.7224,0.6781,0.6893,581.45,0.0,0,320,186063,320,0.6781,3662.83
2,Enhanced_Zero_Shot,1,0.7011,0.6781,0.685,186.95,0.0,0,160,59824,320,0.6781,1676.82
2,Few_Shot_with_Reasoning,1,0.6838,0.6469,0.6579,345.34,0.0,0,160,110509,320,0.6469,4115.73
4,Enhanced_Zero_Shot,1,0.6585,0.6469,0.6515,120.62,0.0,0,80,38600,320,0.6469,1414.35
4,Few_Shot_with_Reasoning,1,0.6544,0.6438,0.6476,198.16,0.0,0,80,63411,320,0.6438,2537.42
8,Enhanced_Zero_Shot,1,0.6961,0.6687,0.6764,87.27,0.0,0,40,27926,320,0.6687,1285.36
8,Few_Shot_with_Reasoning,1,0.6493,0.6219,0.6312,117.94,0.0,0,40,37740,320,0.6219,1357.3
16,Enhanced_Zero_Shot,1,0.7047,0.6813,0.6882,70.42,0.0,0,20,22535,320,0.6813,1275.49
16,Few_Shot_with_Reasoning,1,0.6247,0.6062,0.6115,86.55,0.0,0,20,27695,320,0.6062,1366.41
32,Enhanced_Zero_Shot,1,0.6586,0.575,0.6111,61.43,0.1,1,10,19659,320,0.575,1228.93
32,Few_Shot_with_Reasoning,1,0.6632,0.6281,0.643,69.97,0.0,0,10,22390,320,0.6281,1316.36
64,Enhanced_Zero_Shot,1,0.5654,0.225,0.3204,55.5,0.6,3,5,17760,320,0.225,1165.45
64,Few_Shot_with_Reasoning,1,0.6771,0.3219,0.435,61.38,0.4,2,5,19641,320,0.3219,1325.57
