batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.7028,0.6906,0.693,324.26,0.0,0,320,103764,320,0.6906,2294.77
1,Few_Shot_with_Reasoning,1,0.7252,0.6937,0.7035,640.84,0.0,0,320,205070,320,0.6937,3725.17
2,Enhanced_Zero_Shot,1,0.7383,0.7188,0.7252,188.81,0.0,0,160,60420,320,0.7188,1697.99
2,Few_Shot_with_Reasoning,1,0.6995,0.6562,0.6685,371.92,0.0,0,160,119015,320,0.6562,4028.12
4,Enhanced_Zero_Shot,1,0.7092,0.6844,0.6931,121.62,0.0,0,80,38920,320,0.6844,1462.16
4,Few_Shot_with_Reasoning,1,0.69,0.6594,0.6698,214.59,0.0125,1,80,68669,320,0.6594,2724.58
8,Enhanced_Zero_Shot,1,0.7158,0.6875,0.6972,87.7,0.0,0,40,28065,320,0.6875,1334.55
8,Few_Shot_with_Reasoning,1,0.6879,0.6562,0.6655,127.78,0.0,0,40,40888,320,0.6562,1592.57
16,Enhanced_Zero_Shot,1,0.6919,0.6719,0.6771,70.64,0.0,0,20,22606,320,0.6719,1355.3
16,Few_Shot_with_Reasoning,1,0.7005,0.6656,0.6779,88.96,0.0,0,20,28466,320,0.6656,1365.13
32,Enhanced_Zero_Shot,1,0.6592,0.6531,0.6517,62.86,0.0,0,10,20116,320,0.6531,1398.39
32,Few_Shot_with_Reasoning,1,0.6406,0.5938,0.6141,71.38,0.0,0,10,22840,320,0.5938,1372.51
64,Enhanced_Zero_Shot,1,0.6913,0.5344,0.5987,57.24,0.2,1,5,18318,320,0.5344,1358.34
64,Few_Shot_with_Reasoning,1,0.6499,0.5875,0.6162,62.3,0.0,0,5,19935,320,0.5875,1413.44
