batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.8683,0.8672,0.8674,317.47,0.0,0,384,121907,384,0.8672,4185.05
1,Few_Shot_with_Reasoning,1,0.8908,0.8854,0.8871,524.51,0.0026,1,384,201413,384,0.8854,7241.5
2,Enhanced_Zero_Shot,1,0.8647,0.8646,0.8644,185.73,0.0,0,192,71321,384,0.8646,2985.14
2,Few_Shot_with_Reasoning,1,0.8441,0.8411,0.8416,321.25,0.0,0,192,123361,384,0.8411,7889.45
4,Enhanced_Zero_Shot,1,0.8597,0.8594,0.8591,120.24,0.0,0,96,46172,384,0.8594,1755.11
4,Few_Shot_with_Reasoning,1,0.8656,0.8568,0.8611,183.02,0.0104,1,96,70281,384,0.8568,3133.63
8,Enhanced_Zero_Shot,1,0.8623,0.862,0.8621,87.61,0.0,0,48,33642,384,0.862,1611.8
8,Few_Shot_with_Reasoning,1,0.8657,0.8411,0.853,112.21,0.0208,1,48,43087,384,0.8411,1836.29
16,Enhanced_Zero_Shot,1,0.8568,0.8568,0.8567,70.73,0.0,0,24,27159,384,0.8568,1600.49
16,Few_Shot_with_Reasoning,1,0.8691,0.8229,0.8447,82.67,0.0417,1,24,31745,384,0.8229,1673.93
32,Enhanced_Zero_Shot,1,0.8332,0.763,0.7963,62.89,0.0833,1,12,24149,384,0.763,1640.0
32,Few_Shot_with_Reasoning,1,0.8576,0.8255,0.8405,68.39,0.0,0,12,26263,384,0.8255,1650.13
64,Enhanced_Zero_Shot,1,0.7865,0.3958,0.5239,57.54,0.5,3,6,22094,384,0.3958,1612.21
64,Few_Shot_with_Reasoning,1,0.8207,0.5469,0.6561,61.44,0.3333,2,6,23594,384,0.5469,1720.58
