Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.8674,,0.8683,0.8672,317.47,0.0,0.8672,4185.05
1,Few_Shot_with_Reasoning,0.8871,,0.8908,0.8854,524.51,0.0026,0.8854,7241.5
2,Enhanced_Zero_Shot,0.8644,,0.8647,0.8646,185.73,0.0,0.8646,2985.14
2,Few_Shot_with_Reasoning,0.8416,,0.8441,0.8411,321.25,0.0,0.8411,7889.45
4,Enhanced_Zero_Shot,0.8591,,0.8597,0.8594,120.24,0.0,0.8594,1755.11
4,Few_Shot_with_Reasoning,0.8611,,0.8656,0.8568,183.02,0.0104,0.8568,3133.63
8,Enhanced_Zero_Shot,0.8621,,0.8623,0.862,87.61,0.0,0.862,1611.8
8,Few_Shot_with_Reasoning,0.853,,0.8657,0.8411,112.21,0.0208,0.8411,1836.29
16,Enhanced_Zero_Shot,0.8567,,0.8568,0.8568,70.73,0.0,0.8568,1600.49
16,Few_Shot_with_Reasoning,0.8447,,0.8691,0.8229,82.67,0.0417,0.8229,1673.93
32,Enhanced_Zero_Shot,0.7963,,0.8332,0.763,62.89,0.0833,0.763,1640.0
32,Few_Shot_with_Reasoning,0.8405,,0.8576,0.8255,68.39,0.0,0.8255,1650.13
64,Enhanced_Zero_Shot,0.5239,,0.7865,0.3958,57.54,0.5,0.3958,1612.21
64,Few_Shot_with_Reasoning,0.6561,,0.8207,0.5469,61.44,0.3333,0.5469,1720.58
