batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.7012,0.6953,0.6962,314.12,0.0,0,384,120623,384,0.6953,2754.22
1,Few_Shot_with_Reasoning,1,0.7008,0.6849,0.6796,520.75,0.0,0,384,199968,384,0.6849,4830.69
2,Enhanced_Zero_Shot,1,0.6917,0.6797,0.6817,183.22,0.0,0,192,70357,384,0.6797,2024.43
2,Few_Shot_with_Reasoning,1,0.6722,0.6641,0.6638,320.55,0.0052,1,192,123090,384,0.6641,5703.01
4,Enhanced_Zero_Shot,1,0.6972,0.6797,0.6803,118.81,0.0,0,96,45624,384,0.6797,1738.37
4,Few_Shot_with_Reasoning,1,0.6925,0.6693,0.6638,185.99,0.0,0,96,71422,384,0.6693,3479.93
8,Enhanced_Zero_Shot,1,0.7141,0.6875,0.6858,86.24,0.0,0,48,33118,384,0.6875,1593.48
8,Few_Shot_with_Reasoning,1,0.707,0.6562,0.6581,112.12,0.0208,1,48,43053,384,0.6562,1877.0
16,Enhanced_Zero_Shot,1,0.7258,0.7005,0.6973,69.54,0.0,0,24,26704,384,0.7005,1559.9
16,Few_Shot_with_Reasoning,1,0.6949,0.6719,0.6697,81.05,0.0,0,24,31123,384,0.6719,1588.25
32,Enhanced_Zero_Shot,1,0.6624,0.6432,0.6401,61.44,0.0,0,12,23593,384,0.6432,1561.78
32,Few_Shot_with_Reasoning,1,0.6604,0.6302,0.6387,67.23,0.0,0,12,25816,384,0.6302,1586.68
64,Enhanced_Zero_Shot,1,0.6479,0.4323,0.5165,56.68,0.3333,2,6,21767,384,0.4323,1566.28
64,Few_Shot_with_Reasoning,1,0.6453,0.6302,0.6349,60.12,0.0,0,6,23087,384,0.6302,1636.49
