Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.6962,,0.7012,0.6953,314.12,0.0,0.6953,2754.22
1,Few_Shot_with_Reasoning,0.6796,,0.7008,0.6849,520.75,0.0,0.6849,4830.69
2,Enhanced_Zero_Shot,0.6817,,0.6917,0.6797,183.22,0.0,0.6797,2024.43
2,Few_Shot_with_Reasoning,0.6638,,0.6722,0.6641,320.55,0.0052,0.6641,5703.01
4,Enhanced_Zero_Shot,0.6803,,0.6972,0.6797,118.81,0.0,0.6797,1738.37
4,Few_Shot_with_Reasoning,0.6638,,0.6925,0.6693,185.99,0.0,0.6693,3479.93
8,Enhanced_Zero_Shot,0.6858,,0.7141,0.6875,86.24,0.0,0.6875,1593.48
8,Few_Shot_with_Reasoning,0.6581,,0.707,0.6562,112.12,0.0208,0.6562,1877.0
16,Enhanced_Zero_Shot,0.6973,,0.7258,0.7005,69.54,0.0,0.7005,1559.9
16,Few_Shot_with_Reasoning,0.6697,,0.6949,0.6719,81.05,0.0,0.6719,1588.25
32,Enhanced_Zero_Shot,0.6401,,0.6624,0.6432,61.44,0.0,0.6432,1561.78
32,Few_Shot_with_Reasoning,0.6387,,0.6604,0.6302,67.23,0.0,0.6302,1586.68
64,Enhanced_Zero_Shot,0.5165,,0.6479,0.4323,56.68,0.3333,0.4323,1566.28
64,Few_Shot_with_Reasoning,0.6349,,0.6453,0.6302,60.12,0.0,0.6302,1636.49
